*
0.*
0.*, >=0.12.1
0.0.*
0.1.*
0.10.*
0.11.*
0.12.*
0.128.*
0.13.*
0.133.*
0.138.*
0.14.*
0.141.*
0.146.*
0.15.*
0.16.*
0.17.*
0.18.*
0.19.*
0.2.*
0.2.*, >=0.2.4
0.2.*, >=0.2.5
0.20.*
0.21.*
0.22.*
0.23.*
0.24.*
0.25.*
0.26.*
0.27.*
0.28.*
0.29.*
0.3.*
0.3.*, >=0.3.3
0.3.*, >=0.3.4
0.30.*
0.31.*
0.32.*
0.33.*
0.34.*
0.35.*
0.36.*
0.39.*
0.4.*
0.4.*, >=0.4.2
0.4.*, >=0.4.3
0.4.*, >=0.4.4
0.4.*, >=0.4.5
0.42.*
0.43.*
0.44.*
0.45.*
0.49.*
0.5.*
0.5.*, >=0.5.3
0.50.*
0.54.*
0.56.*
0.58.*
0.6.*
0.60.*
0.64.*
0.65.*
0.66.*
0.68.*
0.69.*
0.7.*
0.75.*
0.78.*
0.8.*
0.8.*, >=0.8.4
0.83.*
0.86.*
0.9.*
0.99.*
1.*
1.0.*
1.1.*
1.10.*
1.11.*
1.12.*
1.13.*
1.15.*
1.16.*
1.17.*
1.18.*
1.19.*
1.2.*
1.20.*
1.24.*
1.25.*
1.3.*
1.30.*
1.33.*
1.4.*
1.5.*
1.5.*, >=1.5.5
1.6.*
1.7.*
1.8.*
1.9.*
10.*
10.1.*
100.100.*
2.*
2.0.*
2.1.*
2.10.*
2.19.*
2.2.*
2.20.*
2.22.*
2.26.*
2.3.*
2.31.*
2.32.*
2.33.*
2.34.*
2.4.*
2.5.*
2.7.*
2.8.*
2.9.*
21.*
22.*
3.*
3.0.*
3.1.*
3.2.*
3.3.*
3.5.*
4.*
4.0.*
4.1.*
4.2.*
4.3.*
4.4.*
40.0.*
5.*
6.*
6.0.*
6.1.*
6.2.*
6.3.*
7.*
7.0.*
7.1.*
8.0.*
8.1.*
<0.1.0
<0.1.46
<0.12, >=0.8
<0.12, >=0.9
<0.12.0, >=0.10.0
<0.13.5
<0.14.0
<0.14.3
<0.17
<0.18.0
<0.19.4
<0.2
<0.2.0
<0.2.6
<0.20
<0.21
<0.22
<0.25
<0.3
<0.3, >=0.1
<0.3, >=0.1, >=0.2.0-beta.0
<0.3, >=0.2.0-beta.0
<0.3.0
<0.3.0-rc.17
<0.4
<0.4, >=0.1
<0.4.0
<0.4.11, >=0.4.10
<0.5
<0.5.0
<0.6
<0.6.0, >=0.4.2
<0.7.0
<0.7.0, >=0.5.1
<0.8
<0.8.11
<0.9
<0.9.0, >=0.7.0
<0.9.18
<1
<1.0
<1.0.0
<1.0.0, >=0.51.0
<1.0.0, >=0.53.0
<1.0.0, >=0.60.0
<1.0.0, >=0.61.0
<1.0.101
<1.0.118, >=1.0.79
<1.0.16
<1.0.45
<1.0.45, >=1.0.0
<1.0.49
<1.0.5
<1.0.58
<1.0.99
<1.0.99, >=1.0.0
<1.1
<1.12.0
<1.14.24
<1.15
<1.16
<1.16.0
<1.2
<1.4.0
<1.6
<1.6.0
<1.8.0
<1.9.2
<2
<2, >=0.3.2
<2.28.0
<2.3.0, <3
<3
<3.0
<3.1
<3.3
<3.4
<3.7
<4.0.0
<7, >=6.3.0
<=0.0.1
<=0.1
<=0.1.0
<=0.1.1
<=0.1.42
<=0.1.43
<=0.1.5
<=0.1.6
<=0.1.9, >=0.1.0
<=0.11.3
<=0.13
<=0.14.0, >=0.13.4
<=0.14.6
<=0.15
<=0.15.0, >=0.14.0
<=0.15.1, >=0.14.0
<=0.17.3
<=0.17.7
<=0.18
<=0.2
<=0.2.0
<=0.2.2
<=0.2.21
<=0.2.4
<=0.2.7, >=0.2.4
<=0.20.1
<=0.21
<=0.22.2
<=0.24.1
<=0.25.1
<=0.26.1
<=0.27.0
<=0.29
<=0.3
<=0.3.15
<=0.3.16
<=0.3.2
<=0.3.20
<=0.3.23
<=0.3.3
<=0.4.1
<=0.4.19
<=0.6.1
<=0.6.2
<=0.7.0, >=0.3.0
<=0.7.3
<=0.8.3
<=0.9
<=0.9.21
<=0.9.3
<=0.9.68
<=1.0.171
<=1.0.37
<=1.0.44
<=1.0.48
<=1.0.58
<=1.0.59
<=1.0.7
<=1.0.79
<=1.0.98
<=1.1.10
<=1.11
<=1.14
<=1.3.0
<=1.5.7
<=1.6.0
<=1.8
<=2.0.0
<=3.2.23
<=3.6.0
<=4.2
=0
=0.0
=0.0.0
=0.0.0-alpha.0
=0.0.0-alpha.1
=0.0.0-alpha.6
=0.0.0-alpha.7
=0.0.0-alpha.9
=0.0.0-dev.1
=0.0.0-dev.11
=0.0.0-dev.13
=0.0.0-pre
=0.0.0-pre1
=0.0.1
